    Finished `test` profile [unoptimized] target(s) in 4.01s
        PASS [   0.178s] ( 116/8916) auto-dpo generator::tests::test_generate_pair_id_increments
        PASS [   0.178s] ( 117/8916) auto-dpo generator::tests::test_generate_picks_extreme_scores_without_filtering
        PASS [   0.174s] ( 118/8916) auto-dpo generator::tests::test_generate_quality_too_low
        PASS [   0.162s] ( 119/8916) auto-dpo generator::tests::test_generate_valid_pair
        PASS [   0.160s] ( 120/8916) auto-dpo generator::tests::test_invalid_config_rejected
        PASS [   0.188s] ( 121/8916) auto-dpo generator::tests::test_m1_disabled_skips_verification
        PASS [   0.190s] ( 122/8916) auto-dpo generator::tests::test_m1_margin_too_large_rejected
        PASS [   0.200s] ( 123/8916) auto-dpo generator::tests::test_m1_margin_too_small_rejected
        PASS [   0.198s] ( 124/8916) auto-dpo generator::tests::test_m1_self_preference_rejected
        PASS [   0.199s] ( 125/8916) auto-dpo generator::tests::test_m1_valid_pair_passes
        PASS [   0.199s] ( 126/8916) auto-dpo generator::tests::test_validate_chosen_score_not_greater
        PASS [   0.204s] ( 127/8916) auto-dpo generator::tests::test_validate_chosen_score_out_of_range
        PASS [   0.206s] ( 128/8916) auto-dpo generator::tests::test_validate_empty_chosen
        PASS [   0.206s] ( 129/8916) auto-dpo generator::tests::test_validate_empty_pair_id
        PASS [   0.209s] ( 130/8916) auto-dpo generator::tests::test_validate_low_quality_pair
        PASS [   0.209s] ( 131/8916) auto-dpo generator::tests::test_validate_valid_pair
        PASS [   0.210s] ( 132/8916) auto-dpo rhi_channel_a::tests::test_judge_verdict_new_empty_rationale_fails
        PASS [   0.209s] ( 133/8916) auto-dpo rhi_channel_a::tests::test_judge_verdict_new_equal_scores_allowed
        PASS [   0.210s] ( 134/8916) auto-dpo rhi_channel_a::tests::test_judge_verdict_new_score_out_of_range_fails
        PASS [   0.211s] ( 135/8916) auto-dpo rhi_channel_a::tests::test_judge_verdict_new_valid
        PASS [   0.211s] ( 136/8916) auto-dpo rhi_channel_a::tests::test_judge_verdict_new_winner_score_below_loser_fails
        PASS [   0.193s] ( 137/8916) auto-dpo rhi_channel_a::tests::test_judge_verdict_score_gap
        PASS [   0.193s] ( 138/8916) auto-dpo rhi_channel_a::tests::test_rhi_channel_a_does_not_modify_specs
        PASS [   0.181s] ( 139/8916) auto-dpo rhi_channel_a::tests::test_rhi_channel_a_generate_preference_pair_current_wins
        PASS [   0.183s] ( 140/8916) auto-dpo rhi_channel_a::tests::test_rhi_channel_a_generate_preference_pair_previous_wins
        PASS [   0.182s] ( 141/8916) auto-dpo rhi_channel_a::tests::test_rhi_channel_a_generate_with_high_version_numbers
        PASS [   0.182s] ( 142/8916) auto-dpo rhi_channel_a::tests::test_rhi_channel_a_judge_client_accessor
        PASS [   0.180s] ( 143/8916) auto-dpo rhi_channel_a::tests::test_rhi_channel_a_judge_failure_propagates
        PASS [   0.177s] ( 144/8916) auto-dpo rhi_channel_a::tests::test_rhi_channel_a_judge_success_with_mock
        PASS [   0.178s] ( 145/8916) auto-dpo rhi_channel_a::tests::test_spec_version_as_str
        PASS [   0.175s] ( 146/8916) auto-dpo rhi_channel_a::tests::test_spec_version_display
        PASS [   0.177s] ( 147/8916) auto-dpo rhi_channel_a::tests::test_stub_judge_client_convenience_constructors
        PASS [   0.178s] ( 148/8916) auto-dpo rhi_channel_a::tests::test_stub_judge_client_judge_returns_valid_verdict
        PASS [   0.180s] ( 149/8916) auto-dpo rhi_channel_a::tests::test_stub_judge_client_new_confidence_out_of_range_panics
        PASS [   0.181s] ( 150/8916) auto-dpo rhi_channel_a::tests::test_stub_judge_client_new_negative_confidence_panics
        PASS [   0.181s] ( 151/8916) auto-dpo rhi_channel_a::tests::test_stub_judge_client_new_valid
        PASS [   0.184s] ( 152/8916) auto-dpo rhi_channel_a::tests::test_stub_judge_client_previous_wins_returns_previous
        PASS [   0.183s] ( 153/8916) auto-dpo rhi_judge_client::tests::test_failing_llm_invoker_returns_judge_failed
        PASS [   0.182s] ( 154/8916) auto-dpo rhi_judge_client::tests::test_fallback_verdict_values
        PASS [   0.183s] ( 155/8916) auto-dpo rhi_judge_client::tests::test_judge_client_config_default
        PASS [   0.182s] ( 156/8916) auto-dpo rhi_judge_client::tests::test_judge_invoker_failure_no_retry
